,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,Maués,-3.3836,-57.7186,78.75,72,86,1.97,BR,1627917799
342,Berbera,10.4396,45.0143,93.2,45,43,9.06,SO,1627917800
343,Surgāna,20.5667,73.6167,73.06,92,100,11.74,IN,1627917800
344,Río Gallegos,-51.6226,-69.2181,44.65,45,0,16.11,AR,1627917699
345,Tateyama,34.9833,139.8667,81.99,88,94,12.5,JP,1627917800
346,Ol'ga,43.7444,135.2892,66.33,97,100,3.6,RU,1627917801
347,San Policarpo,12.1791,125.5072,82.27,78,92,10.04,PH,1627917618
348,San Francisco Ixhuatan,16.3569,-94.4825,85.55,67,39,4.07,MX,1627917801
349,Umluj,25.0213,37.2685,93.92,44,7,6.06,SA,1627917801
350,Hofn,64.2539,-15.2082,53.62,87,90,11.5,IS,1627917802
351,Alofi,-19.0595,-169.9187,73.29,78,75,12.66,NU,1627917802
